Date,Weight,Calories
2016/09/20,73,1945
2016/09/21,73.3,1574
2016/09/22,73.2,0
2016/09/23,72.9,1655
2016/09/24,72.4,1855
2016/09/25,73.2,1468
2016/09/26,73.2,1289
2016/09/27,72.7,2063
2016/09/28,72.7,1887
2016/09/29,72.9,2169
2016/09/30,73.4,1556
2016/10/01,73.1,2272
2016/10/02,73.3,1838
2016/10/03,73.3,1598
2016/10/04,73.2,0
2016/10/05,73.1,1703
2016/10/06,73,948
